ID	IntroductiontoClinicalMedicine	MusculoskeletalSystem	MedicalNeuroscience	NeuropsychiatryandBehavioralScience	SensorySystem
20071.0	79.79	82.39500000000001	71.52	82.44	78.13499999999999
20072.0	87.23	79.595	79.41333333333334	81.9	81.35499999999999
20073.0	74.47	70.975	70.96333333333334	70.865	71.39500000000001
20074.0	86.17	78.445	75.31333333333333	77.445	81.815
20075.0	85.11	84.435	71.55000000000001	82.44	82.60499999999999
20076.0	90.43	85.94	74.61333333333333	83.61	89.1
20077.0	77.66	86.715	83.70666666666666	87.17	87.455
20078.0	79.79	40.135000000000005	28.25666666666667	51.555	55.790000000000006
20079.0	90.43	86.695	74.78	80.95500000000001	88.87
20080.0	78.72	74.745	78.16333333333334	77.08	78.215
20081.0	91.49	85.785	82.87333333333333	87.435	91.215
20082.0	75.53	72.92500000000001	63.27	77.035	76.25999999999999
20083.0	95.74	89.81	78.99333333333334	86.63	88.71000000000001
20084.0	81.91	80.25	84.41333333333334	80.22999999999999	77.44999999999999
20085.0	78.72	79.14	64.04	77.89	78.845
20086.0	84.04	69.83500000000001	69.51333333333334	77.25999999999999	76.015
20087.0	76.6	68.82	49.18333333333334	71.725	61.91
20088.0	81.91	77.97	71.23666666666666	80.46000000000001	82.36
20089.0	93.62	86.91499999999999	86.22333333333334	82.575	93.25
20090.0	87.23	85.31	73.97666666666667	86.08500000000001	79.4
20091.0	80.85	86.675	80.63333333333334	86.445	82.755
20092.0	88.3	89.235	84.34666666666666	86.58	91.685
20093.0	91.49	88.62	84.13000000000001	85.455	89.1
20094.0	70.21	78.425	63.080000000000005	70.91499999999999	66.935
20095.0	87.23	85.22999999999999	77.12333333333333	82.25999999999999	82.285
20096.0	82.98	76.5	70.94666666666667	81.945	77.805
20097.0	96.81	93.18	86.24666666666667	84.24	93.725
20098.0	91.49	74.75	77.63333333333333	74.695	65.33
20099.0	87.23	68.63	66.60666666666667	82.21	68.255
20100.0	71.28	65.52000000000001	53.24	71.59	69.0
20101.0	88.3	88.31	81.41666666666667	87.8	86.205
